playerName,roundsPerGame,playersPerTable,winsVOpTwoPlayer,winsV1/2PlayersPlayer,winsV1/12RandomPlayer,winsV1/3RandomPlayer,winsV1/6RandomPlayer,winsV1000PotPlayer,winsV14RollsPlayer,winsV200PotPlayer,winsV3DoublesPlayer,winsV7DoublesPlayer,winsV7RollsPlayer,winsVAdversarialLeader,winsVLastBankingPlayer,placementIn1,placementIn2,placementIn3,placementIn4,placementIn5,placementIn6,placementIn7,placementIn8,placementIn9,games_played
14RollsPlayer,10,9,5360,4330,2696,2409,2347,3870,4844,2243,3244,5079,2166,4705,5536,1726,1366,1499,1526,1345,775,455,220,88,9000
1/3RandomPlayer,10,9,5251,3558,3804,2525,3121,3244,3245,2149,2703,5185,2273,4678,5328,1644,1525,1426,1262,1008,920,619,341,255,9000
1/6RandomPlayer,10,9,5408,3589,3581,2469,2546,3321,3258,2137,2783,5075,2265,4667,5376,1444,1375,1563,1483,1057,910,637,273,258,9000
1/12RandomPlayer,10,9,5448,3619,2499,1800,2059,3541,2818,1712,2604,5180,1708,4539,5233,1071,1078,1465,1552,1243,1026,816,414,335,9000
3DoublesPlayer,10,9,5422,4433,3067,2875,2736,3941,3238,2788,4902,5155,2634,4894,5576,2265,1364,1521,1532,1108,617,375,174,44,9000
7DoublesPlayer,10,9,5619,4112,505,427,464,3538,1770,657,1862,5086,465,4344,5549,651,398,716,1421,1914,1196,1414,931,359,9000
AdversarialLeader,10,9,5613,4278,1106,864,848,3680,2078,1093,2212,5278,820,4033,5540,632,593,984,1486,1929,1261,1342,719,54,9000
1/2PlayersPlayer,10,9,5321,5028,2062,2042,1956,4536,3222,2204,3316,5383,1980,4733,5313,1176,1030,1356,1912,2508,781,182,43,12,9000
OpTwoPlayer,15,3,276,493,141,180,154,399,186,141,266,469,155,481,486,1079,1669,252,,,,,,,3000
LastBankingPlayer,15,3,486,460,155,167,154,388,199,174,261,442,174,504,282,1114,1618,268,,,,,,,3000
200PotPlayer,15,3,362,372,336,337,309,261,303,310,263,416,293,332,360,1772,710,518,,,,,,,3000
1000PotPlayer,15,3,488,443,232,247,208,294,241,230,253,422,221,385,473,1613,911,476,,,,,,,3000
7RollsPlayer,15,3,308,354,329,260,317,220,277,187,234,442,324,316,321,1578,733,689,,,,,,,3000
14RollsPlayer,15,3,331,424,250,218,200,300,322,189,227,432,199,277,337,1358,990,652,,,,,,,3000
1/3RandomPlayer,15,3,293,313,304,156,256,248,285,164,210,401,215,287,305,1343,751,906,,,,,,,3000
1/6RandomPlayer,15,3,350,324,293,204,174,231,292,142,218,452,172,246,321,1297,825,878,,,,,,,3000
1/12RandomPlayer,15,3,314,369,168,133,165,236,216,120,204,433,119,284,330,1101,889,1010,,,,,,,3000
3DoublesPlayer,15,3,453,380,290,269,264,317,236,224,334,422,227,390,416,1657,908,435,,,,,,,3000
7DoublesPlayer,15,3,478,428,46,63,55,264,84,59,125,334,56,327,452,802,1167,1031,,,,,,,3000
AdversarialLeader,15,3,480,500,246,173,191,406,263,217,335,437,142,286,503,1403,1373,224,,,,,,,3000
1/2PlayersPlayer,15,3,493,346,164,164,140,363,254,199,238,407,177,500,460,1065,1775,160,,,,,,,3000
OpTwoPlayer,15,4,698,862,256,258,241,666,346,212,400,856,218,801,940,913,1292,1431,364,,,,,,4000
LastBankingPlayer,15,4,940,874,260,242,227,678,323,246,397,962,269,746,706,945,1323,1389,343,,,,,,4000
200PotPlayer,15,4,767,629,674,550,661,528,616,662,507,841,589,762,742,1925,1049,655,371,,,,,,4000
1000PotPlayer,15,4,908,743,449,461,413,748,451,465,542,822,468,679,904,1735,1046,756,463,,,,,,4000
7RollsPlayer,15,4,667,600,764,525,559,472,538,366,452,804,704,610,711,1652,1039,738,571,,,,,,4000
14RollsPlayer,15,4,779,704,500,417,392,573,704,349,463,841,420,583,753,1405,1211,841,543,,,,,,4000
1/3RandomPlayer,15,4,695,519,667,335,542,466,500,334,451,870,408,647,672,1433,1030,747,790,,,,,,4000
1/6RandomPlayer,15,4,685,522,583,423,357,488,526,312,415,865,392,608,648,1277,1094,805,824,,,,,,4000
1/12RandomPlayer,15,4,698,439,357,261,358,519,482,248,373,808,286,533,698,992,1082,920,1006,,,,,,4000
3DoublesPlayer,15,4,849,699,556,535,530,585,540,446,626,892,463,754,813,1798,1086,722,394,,,,,,4000
7DoublesPlayer,15,4,888,639,95,107,116,513,191,92,233,704,94,606,1005,671,1050,1170,1109,,,,,,4000
AdversarialLeader,15,4,950,868,353,340,327,666,427,290,509,868,307,621,877,1084,1508,1135,273,,,,,,4000
1/2PlayersPlayer,15,4,872,682,501,450,473,707,630,488,625,900,457,875,864,1247,2124,535,94,,,,,,4000
OpTwoPlayer,15,5,1276,1432,253,284,273,959,461,258,483,1409,275,1129,1566,616,905,1714,1451,314,,,,,5000
LastBankingPlayer,15,5,1566,1475,250,254,257,844,428,273,478,1502,302,1160,1298,608,950,1694,1417,331,,,,,5000
200PotPlayer,15,5,1382,1065,1172,987,1001,847,1003,1178,762,1376,934,1206,1337,2037,1279,834,597,253,,,,,5000
1000PotPlayer,15,5,1550,1371,772,773,735,1200,819,792,893,1367,798,1193,1436,1953,1072,1014,643,318,,,,,5000
7RollsPlayer,15,5,1254,1047,1134,892,926,807,880,593,700,1376,1252,1154,1270,1710,1332,882,685,391,,,,,5000
14RollsPlayer,15,5,1346,1206,802,689,700,910,1208,609,832,1431,702,1135,1321,1524,1330,1075,655,416,,,,,5000
1/3RandomPlayer,15,5,1277,1013,1056,613,883,763,836,550,706,1358,663,1157,1311,1468,1276,895,696,665,,,,,5000
1/6RandomPlayer,15,5,1334,992,956,724,636,767,888,590,719,1377,608,1111,1347,1331,1344,995,703,627,,,,,5000
1/12RandomPlayer,15,5,1265,1033,669,496,542,856,698,404,579,1429,432,1051,1318,1008,1208,1159,798,827,,,,,5000
3DoublesPlayer,15,5,1410,1258,993,889,868,956,867,826,1270,1360,878,1197,1344,1905,1330,981,544,240,,,,,5000
7DoublesPlayer,15,5,1525,1258,173,188,167,786,369,194,371,1236,190,1061,1598,661,826,1418,1158,937,,,,,5000
AdversarialLeader,15,5,1481,1328,474,456,397,1025,618,385,631,1487,414,1074,1526,783,1174,1764,1114,165,,,,,5000
1/2PlayersPlayer,15,5,1420,1300,589,587,579,1221,798,540,864,1473,589,1223,1487,920,1443,2097,467,73,,,,,5000
OpTwoPlayer,15,6,1932,1528,279,312,302,1228,513,258,636,2185,301,1771,2368,467,615,1427,1348,1841,302,,,,6000
LastBankingPlayer,15,6,2368,1603,291,335,325,1248,526,312,633,2242,324,1703,1908,502,657,1405,1339,1787,310,,,,6000
200PotPlayer,15,6,2046,1601,1748,1459,1521,1248,1469,1958,1240,2101,1354,1905,2125,2218,1432,1054,675,445,176,,,,6000
1000PotPlayer,15,6,2223,1791,1123,1178,1134,1960,1235,1130,1298,2051,1225,1815,2194,2047,1093,1181,757,693,229,,,,6000
7RollsPlayer,15,6,2075,1438,1662,1418,1437,1110,1356,921,1112,2049,1890,1878,2111,1912,1389,1056,829,515,299,,,,6000
14RollsPlayer,15,6,2030,1662,1186,1113,1069,1444,1900,850,1199,2182,1007,1783,1998,1517,1374,1341,867,585,316,,,,6000
